step,MR:0.0 ID:C Mode:none_mean_opinions,MR:0.0 ID:C Mode:none_non_zealot_variance,MR:0.0 ID:C Mode:none_cluster_variance,MR:0.0 ID:C Mode:none_negative_counts,MR:0.0 ID:C Mode:none_negative_means,MR:0.0 ID:C Mode:none_positive_counts,MR:0.0 ID:C Mode:none_positive_means,MR:0.0 ID:C Mode:none_polarization_index,MR:0.0 ID:C Mode:clustered_mean_opinions,MR:0.0 ID:C Mode:clustered_non_zealot_variance,MR:0.0 ID:C Mode:clustered_cluster_variance,MR:0.0 ID:C Mode:clustered_negative_counts,MR:0.0 ID:C Mode:clustered_negative_means,MR:0.0 ID:C Mode:clustered_positive_counts,MR:0.0 ID:C Mode:clustered_positive_means,MR:0.0 ID:C Mode:clustered_polarization_index,MR:0.0 ID:C Mode:random_mean_opinions,MR:0.0 ID:C Mode:random_non_zealot_variance,MR:0.0 ID:C Mode:random_cluster_variance,MR:0.0 ID:C Mode:random_negative_counts,MR:0.0 ID:C Mode:random_negative_means,MR:0.0 ID:C Mode:random_positive_counts,MR:0.0 ID:C Mode:random_positive_means,MR:0.0 ID:C Mode:random_polarization_index,MR:0.0 ID:C Mode:high-degree_mean_opinions,MR:0.0 ID:C Mode:high-degree_non_zealot_variance,MR:0.0 ID:C Mode:high-degree_cluster_variance,MR:0.0 ID:C Mode:high-degree_negative_counts,MR:0.0 ID:C Mode:high-degree_negative_means,MR:0.0 ID:C Mode:high-degree_positive_counts,MR:0.0 ID:C Mode:high-degree_positive_means,MR:0.0 ID:C Mode:high-degree_polarization_index,MR:0.3 ID:C Mode:none_mean_opinions,MR:0.3 ID:C Mode:none_non_zealot_variance,MR:0.3 ID:C Mode:none_cluster_variance,MR:0.3 ID:C Mode:none_negative_counts,MR:0.3 ID:C Mode:none_negative_means,MR:0.3 ID:C Mode:none_positive_counts,MR:0.3 ID:C Mode:none_positive_means,MR:0.3 ID:C Mode:none_polarization_index,MR:0.3 ID:C Mode:clustered_mean_opinions,MR:0.3 ID:C Mode:clustered_non_zealot_variance,MR:0.3 ID:C Mode:clustered_cluster_variance,MR:0.3 ID:C Mode:clustered_negative_counts,MR:0.3 ID:C Mode:clustered_negative_means,MR:0.3 ID:C Mode:clustered_positive_counts,MR:0.3 ID:C Mode:clustered_positive_means,MR:0.3 ID:C Mode:clustered_polarization_index,MR:0.3 ID:C Mode:random_mean_opinions,MR:0.3 ID:C Mode:random_non_zealot_variance,MR:0.3 ID:C Mode:random_cluster_variance,MR:0.3 ID:C Mode:random_negative_counts,MR:0.3 ID:C Mode:random_negative_means,MR:0.3 ID:C Mode:random_positive_counts,MR:0.3 ID:C Mode:random_positive_means,MR:0.3 ID:C Mode:random_polarization_index,MR:0.3 ID:C Mode:high-degree_mean_opinions,MR:0.3 ID:C Mode:high-degree_non_zealot_variance,MR:0.3 ID:C Mode:high-degree_cluster_variance,MR:0.3 ID:C Mode:high-degree_negative_counts,MR:0.3 ID:C Mode:high-degree_negative_means,MR:0.3 ID:C Mode:high-degree_positive_counts,MR:0.3 ID:C Mode:high-degree_positive_means,MR:0.3 ID:C Mode:high-degree_polarization_index
10,0.0005,0.0012,0.0011,249.2000,-0.0296,250.8000,0.0303,0.0000,0.0506,0.0038,0.0017,222.2000,-0.0300,257.8000,0.0462,0.0000,0.0600,0.0038,0.0024,195.5000,-0.0290,284.5000,0.0550,0.0000,0.0823,0.0075,0.0029,169.6000,-0.0294,310.4000,0.0842,0.0000,-0.0056,0.0204,0.0118,259.2000,-0.1163,240.8000,0.1134,1.6834,0.0515,0.0227,0.0129,225.2000,-0.1163,254.8000,0.1252,3.0232,0.0603,0.0221,0.0134,211.3000,-0.1134,268.7000,0.1271,2.7755,0.0796,0.0220,0.0124,186.3000,-0.1088,293.7000,0.1366,2.7237
11,0.0005,0.0011,0.0010,248.7000,-0.0282,251.3000,0.0290,0.0000,0.0516,0.0041,0.0017,220.6000,-0.0286,259.4000,0.0464,0.0000,0.0621,0.0041,0.0025,192.7000,-0.0275,287.3000,0.0568,0.0000,0.0858,0.0083,0.0030,166.0000,-0.0280,314.0000,0.0879,0.0000,-0.0063,0.0234,0.0132,259.8000,-0.1245,240.2000,0.1215,2.2655,0.0528,0.0260,0.0144,224.0000,-0.1243,256.0000,0.1336,3.7825,0.0626,0.0253,0.0150,209.5000,-0.1210,270.5000,0.1356,3.4801,0.0834,0.0251,0.0138,184.5000,-0.1159,295.5000,0.1460,3.3733
12,0.0006,0.0010,0.0009,247.6000,-0.0271,252.4000,0.0277,0.0000,0.0526,0.0044,0.0017,218.7000,-0.0274,261.3000,0.0466,0.0000,0.0642,0.0045,0.0026,188.8000,-0.0261,291.2000,0.0584,0.0000,0.0893,0.0092,0.0032,163.1000,-0.0266,316.9000,0.0915,0.0000,-0.0070,0.0266,0.0146,260.2000,-0.1326,239.8000,0.1292,2.7379,0.0541,0.0293,0.0159,224.7000,-0.1310,255.3000,0.1429,4.5568,0.0649,0.0285,0.0166,208.0000,-0.1282,272.0000,0.1441,4.2827,0.0871,0.0282,0.0153,184.7000,-0.1215,295.3000,0.1559,4.0777
13,0.0007,0.0010,0.0008,247.5000,-0.0259,252.5000,0.0267,0.0000,0.0535,0.0048,0.0017,217.4000,-0.0261,262.6000,0.0471,0.0000,0.0663,0.0049,0.0027,183.7000,-0.0251,296.3000,0.0598,0.0000,0.0927,0.0101,0.0033,160.1000,-0.0252,319.9000,0.0950,0.0000,-0.0077,0.0298,0.0159,259.6000,-0.1411,240.4000,0.1362,3.4643,0.0554,0.0327,0.0174,223.7000,-0.1386,256.3000,0.1509,5.3400,0.0672,0.0318,0.0182,206.5000,-0.1354,273.5000,0.1522,5.0251,0.0906,0.0313,0.0167,183.3000,-0.1281,296.7000,0.1647,4.8161
14,0.0007,0.0009,0.0007,246.9000,-0.0249,253.1000,0.0257,0.0000,0.0545,0.0051,0.0017,215.8000,-0.0250,264.2000,0.0475,0.0000,0.0684,0.0054,0.0029,178.3000,-0.0242,301.7000,0.0612,0.0000,0.0959,0.0109,0.0035,156.9000,-0.0240,323.1000,0.0983,0.0000,-0.0084,0.0331,0.0173,259.6000,-0.1489,240.4000,0.1433,4.1594,0.0566,0.0362,0.0189,223.8000,-0.1453,256.2000,0.1591,6.0914,0.0694,0.0351,0.0197,205.7000,-0.1421,274.3000,0.1605,5.8756,0.0940,0.0345,0.0181,182.5000,-0.1342,297.5000,0.1734,5.5320
15,0.0008,0.0009,0.0007,246.8000,-0.0239,253.2000,0.0248,0.0000,0.0555,0.0055,0.0017,213.0000,-0.0241,267.0000,0.0477,0.0000,0.0705,0.0058,0.0030,174.2000,-0.0233,305.8000,0.0630,0.0000,0.0991,0.0118,0.0037,154.1000,-0.0228,325.9000,0.1015,0.0000,-0.0090,0.0364,0.0186,259.7000,-0.1564,240.3000,0.1500,5.0703,0.0577,0.0396,0.0203,223.3000,-0.1521,256.7000,0.1667,6.8652,0.0716,0.0385,0.0213,204.5000,-0.1488,275.5000,0.1682,6.6422,0.0972,0.0376,0.0195,181.0000,-0.1405,299.0000,0.1812,6.2396
16,0.0009,0.0008,0.0006,246.6000,-0.0230,253.4000,0.0241,0.0000,0.0564,0.0058,0.0017,211.1000,-0.0232,268.9000,0.0482,0.0000,0.0726,0.0063,0.0031,170.7000,-0.0223,309.3000,0.0650,0.0000,0.1022,0.0127,0.0038,149.9000,-0.0219,330.1000,0.1043,0.0000,-0.0097,0.0397,0.0199,259.0000,-0.1643,241.0000,0.1562,6.0209,0.0588,0.0430,0.0217,222.7000,-0.1587,257.3000,0.1739,7.7443,0.0737,0.0418,0.0228,203.1000,-0.1555,276.9000,0.1754,7.3569,0.1004,0.0408,0.0208,179.7000,-0.1465,300.3000,0.1889,6.9444
17,0.0010,0.0008,0.0006,245.7000,-0.0223,254.3000,0.0234,0.0000,0.0573,0.0062,0.0017,209.6000,-0.0223,270.4000,0.0487,0.0000,0.0747,0.0068,0.0033,167.5000,-0.0215,312.5000,0.0669,0.0000,0.1052,0.0136,0.0040,145.4000,-0.0211,334.6000,0.1067,0.0000,-0.0103,0.0430,0.0212,259.1000,-0.1715,240.9000,0.1626,6.9213,0.0598,0.0465,0.0231,222.3000,-0.1652,257.7000,0.1810,8.5586,0.0758,0.0451,0.0242,201.7000,-0.1621,278.3000,0.1824,8.1693,0.1035,0.0439,0.0221,178.6000,-0.1523,301.4000,0.1963,7.7327
18,0.0011,0.0008,0.0005,244.9000,-0.0216,255.1000,0.0228,0.0000,0.0582,0.0065,0.0017,207.6000,-0.0215,272.4000,0.0493,0.0000,0.0768,0.0073,0.0034,164.7000,-0.0206,315.3000,0.0690,0.0000,0.1082,0.0144,0.0042,141.7000,-0.0203,338.3000,0.1094,0.0000,-0.0109,0.0463,0.0224,258.5000,-0.1790,241.5000,0.1685,7.8559,0.0607,0.0498,0.0244,222.2000,-0.1713,257.8000,0.1880,9.2584,0.0778,0.0484,0.0256,201.1000,-0.1681,278.9000,0.1896,8.8718,0.1064,0.0470,0.0233,177.2000,-0.1584,302.8000,0.2032,8.3653
19,0.0012,0.0008,0.0005,243.4000,-0.0210,256.6000,0.0222,0.0000,0.0592,0.0069,0.0017,206.2000,-0.0207,273.8000,0.0500,0.0000,0.0789,0.0079,0.0035,161.0000,-0.0199,319.0000,0.0709,0.0000,0.1110,0.0153,0.0043,137.3000,-0.0197,342.7000,0.1117,0.0000,-0.0114,0.0496,0.0236,258.0000,-0.1861,242.0000,0.1742,8.6582,0.0616,0.0532,0.0257,222.4000,-0.1769,257.6000,0.1949,10.2476,0.0797,0.0517,0.0270,200.5000,-0.1738,279.5000,0.1965,9.7874,0.1092,0.0500,0.0244,176.7000,-0.1636,303.3000,0.2103,9.2426
20,0.0014,0.0007,0.0005,242.9000,-0.0204,257.1000,0.0218,0.0000,0.0601,0.0073,0.0017,204.4000,-0.0200,275.6000,0.0505,0.0000,0.0810,0.0084,0.0037,156.8000,-0.0193,323.2000,0.0727,0.0000,0.1138,0.0161,0.0045,133.1000,-0.0191,346.9000,0.1138,0.0000,-0.0120,0.0529,0.0246,257.9000,-0.1928,242.1000,0.1800,9.5474,0.0625,0.0565,0.0269,222.3000,-0.1825,257.7000,0.2013,11.0594,0.0816,0.0549,0.0283,200.1000,-0.1792,279.9000,0.2033,10.5193,0.1119,0.0529,0.0255,176.1000,-0.1687,303.9000,0.2172,10.0200
21,0.0015,0.0008,0.0004,242.7000,-0.0199,257.3000,0.0214,0.0000,0.0610,0.0076,0.0017,201.8000,-0.0195,278.2000,0.0511,0.0000,0.0831,0.0090,0.0038,153.6000,-0.0187,326.4000,0.0747,0.0000,0.1166,0.0169,0.0047,130.0000,-0.0185,350.0000,0.1163,0.0000,-0.0125,0.0561,0.0257,257.6000,-0.1995,242.4000,0.1855,10.1346,0.0633,0.0597,0.0281,222.1000,-0.1881,257.9000,0.2073,11.9606,0.0835,0.0581,0.0295,199.9000,-0.1843,280.1000,0.2100,11.2904,0.1146,0.0559,0.0266,174.9000,-0.1744,305.1000,0.2232,10.9135
22,0.0017,0.0008,0.0004,241.2000,-0.0195,258.8000,0.0211,0.0000,0.0619,0.0080,0.0018,200.5000,-0.0188,279.5000,0.0519,0.0000,0.0852,0.0096,0.0040,150.8000,-0.0182,329.2000,0.0768,0.0000,0.1192,0.0177,0.0048,125.5000,-0.0181,354.5000,0.1182,0.0000,-0.0131,0.0594,0.0267,257.9000,-0.2055,242.1000,0.1912,11.1251,0.0641,0.0629,0.0292,222.0000,-0.1933,258.0000,0.2133,12.9147,0.0854,0.0612,0.0307,198.8000,-0.1901,281.2000,0.2159,12.2564,0.1172,0.0587,0.0276,174.1000,-0.1795,305.9000,0.2293,11.6304
23,0.0019,0.0008,0.0004,241.4000,-0.0190,258.6000,0.0210,0.0000,0.0628,0.0083,0.0018,197.2000,-0.0184,282.8000,0.0523,0.0000,0.0872,0.0102,0.0041,147.9000,-0.0177,332.1000,0.0789,0.0000,0.1219,0.0185,0.0050,121.9000,-0.0176,358.1000,0.1203,0.0000,-0.0136,0.0625,0.0276,257.9000,-0.2116,242.1000,0.1966,11.9323,0.0650,0.0660,0.0302,222.5000,-0.1980,257.5000,0.2195,13.7779,0.0873,0.0643,0.0318,198.2000,-0.1952,281.8000,0.2219,13.0962,0.1197,0.0615,0.0285,173.0000,-0.1848,307.0000,0.2348,12.4738
24,0.0021,0.0008,0.0004,239.9000,-0.0187,260.1000,0.0208,0.0000,0.0637,0.0087,0.0018,195.7000,-0.0179,284.3000,0.0531,0.0000,0.0893,0.0108,0.0042,144.2000,-0.0173,335.8000,0.0808,0.0000,0.1244,0.0192,0.0051,117.5000,-0.0173,362.5000,0.1221,0.0000,-0.0142,0.0656,0.0285,258.1000,-0.2175,241.9000,0.2019,12.7440,0.0657,0.0690,0.0312,222.7000,-0.2025,257.3000,0.2252,14.8433,0.0891,0.0673,0.0329,197.9000,-0.1996,282.1000,0.2279,14.0645,0.1221,0.0642,0.0294,173.1000,-0.1885,306.9000,0.2410,13.4781
25,0.0023,0.0009,0.0004,239.0000,-0.0184,261.0000,0.0207,0.0000,0.0646,0.0090,0.0018,193.0000,-0.0175,287.0000,0.0537,0.0000,0.0914,0.0114,0.0044,140.5000,-0.0170,339.5000,0.0826,0.0000,0.1269,0.0199,0.0052,115.3000,-0.0167,364.7000,0.1245,0.0000,-0.0148,0.0687,0.0294,259.5000,-0.2220,240.5000,0.2081,13.7111,0.0664,0.0720,0.0322,221.7000,-0.2082,258.3000,0.2298,15.6545,0.0909,0.0702,0.0339,197.2000,-0.2046,282.8000,0.2333,14.9578,0.1244,0.0668,0.0303,172.5000,-0.1931,307.5000,0.2464,14.3977
26,0.0025,0.0009,0.0003,238.6000,-0.0180,261.4000,0.0207,0.0000,0.0655,0.0093,0.0018,191.0000,-0.0171,289.0000,0.0544,0.0000,0.0934,0.0120,0.0045,139.0000,-0.0165,341.0000,0.0850,0.0000,0.1294,0.0207,0.0054,113.0000,-0.0162,367.0000,0.1268,0.0000,-0.0154,0.0717,0.0302,259.9000,-0.2273,240.1000,0.2131,14.5160,0.0670,0.0749,0.0331,221.3000,-0.2131,258.7000,0.2345,16.5441,0.0926,0.0730,0.0349,196.9000,-0.2089,283.1000,0.2389,15.7345,0.1265,0.0694,0.0311,172.0000,-0.1974,308.0000,0.2517,15.1142
27,0.0027,0.0010,0.0003,238.0000,-0.0178,262.0000,0.0207,0.0000,0.0664,0.0097,0.0019,189.3000,-0.0167,290.7000,0.0552,0.0000,0.0955,0.0126,0.0046,137.2000,-0.0161,342.8000,0.0873,0.0000,0.1318,0.0213,0.0055,109.5000,-0.0160,370.5000,0.1287,0.0000,-0.0160,0.0747,0.0309,259.1000,-0.2334,240.9000,0.2170,15.4479,0.0676,0.0777,0.0339,220.4000,-0.2184,259.6000,0.2386,17.4012,0.0942,0.0758,0.0358,196.3000,-0.2132,283.7000,0.2439,16.5606,0.1286,0.0719,0.0318,170.9000,-0.2024,309.1000,0.2561,15.9671
28,0.0029,0.0011,0.0003,237.3000,-0.0176,262.7000,0.0207,0.0000,0.0673,0.0100,0.0019,187.8000,-0.0163,292.2000,0.0561,0.0000,0.0975,0.0132,0.0047,135.2000,-0.0157,344.8000,0.0894,0.0000,0.1342,0.0220,0.0056,106.2000,-0.0157,373.8000,0.1305,0.0000,-0.0165,0.0776,0.0317,259.1000,-0.2385,240.9000,0.2214,16.2342,0.0683,0.0805,0.0348,220.4000,-0.2226,259.6000,0.2434,18.2735,0.0958,0.0785,0.0367,195.8000,-0.2173,284.2000,0.2489,17.4246,0.1306,0.0744,0.0326,170.3000,-0.2066,309.7000,0.2609,16.6958
29,0.0032,0.0012,0.0003,237.8000,-0.0173,262.2000,0.0209,0.0000,0.0682,0.0103,0.0019,185.5000,-0.0160,294.5000,0.0569,0.0000,0.0995,0.0138,0.0049,133.4000,-0.0153,346.6000,0.0916,0.0000,0.1365,0.0227,0.0057,104.0000,-0.0153,376.0000,0.1326,0.0000,-0.0171,0.0804,0.0324,260.1000,-0.2427,239.9000,0.2266,16.9961,0.0688,0.0832,0.0355,219.9000,-0.2273,260.1000,0.2475,18.8341,0.0974,0.0812,0.0375,195.2000,-0.2214,284.8000,0.2534,17.8175,0.1326,0.0768,0.0332,169.5000,-0.2109,310.5000,0.2653,17.1043
30,0.0034,0.0013,0.0003,237.4000,-0.0171,262.6000,0.0211,0.0000,0.0691,0.0106,0.0019,183.2000,-0.0158,296.8000,0.0577,0.0000,0.1016,0.0144,0.0050,131.4000,-0.0150,348.6000,0.0938,0.0000,0.1388,0.0233,0.0059,101.4000,-0.0150,378.6000,0.1345,0.0000,-0.0177,0.0832,0.0330,260.0000,-0.2477,240.0000,0.2305,17.7240,0.0693,0.0858,0.0363,219.7000,-0.2315,260.3000,0.2518,19.7056,0.0989,0.0837,0.0383,195.6000,-0.2241,284.4000,0.2587,18.6599,0.1345,0.0791,0.0339,169.3000,-0.2144,310.7000,0.2699,17.9121
31,0.0037,0.0014,0.0003,238.8000,-0.0168,261.2000,0.0214,0.0000,0.0701,0.0109,0.0020,180.8000,-0.0156,299.2000,0.0585,0.0000,0.1036,0.0150,0.0051,128.4000,-0.0148,351.6000,0.0957,0.0000,0.1410,0.0239,0.0060,99.6000,-0.0146,380.4000,0.1367,0.0000,-0.0183,0.0858,0.0336,259.2000,-0.2531,240.8000,0.2336,18.4694,0.0698,0.0884,0.0370,219.4000,-0.2359,260.6000,0.2558,20.4551,0.1004,0.0862,0.0390,194.5000,-0.2287,285.5000,0.2624,19.4253,0.1363,0.0814,0.0345,168.7000,-0.2185,311.3000,0.2740,18.7037
